Item.[Item Life Cycle],Item.[Planning Item],Item.[Planning Item Disc Date]
Non POC,10000000,
Non POC,10000001,
Non POC,10000002,
Non POC,10000003,
Non POC,10000004,
Non POC,10000005,
Non POC,10000006,
Non POC,10000007,
Non POC,10000008,
Non POC,10000009,
Non POC,10000010,
Non POC,10000011,
Non POC,10000012,
Non POC,10000013,
Non POC,10000014,
Non POC,10000015,
Non POC,10000016,
Non POC,10000017,
Non POC,10000018,
Non POC,10000019,
Non POC,10000020,
Non POC,10000021,
Non POC,10000022,
Non POC,10000023,
Non POC,10000024,
Non POC,10000025,
Non POC,10000026,
Non POC,10000027,
Non POC,10000028,
Non POC,10000029,
Non POC,10000030,
Non POC,10000031,
Non POC,10000032,
Non POC,10000033,
Non POC,10000034,
Non POC,10000035,
Non POC,10000036,
Non POC,10000037,
Non POC,10000038,
Non POC,10000039,
Non POC,10000040,
Non POC,10000041,
Non POC,10000043,
Non POC,10000044,
Non POC,10000045,
Non POC,10000046,
Non POC,10000047,
Non POC,10000048,
Non POC,10000049,
Non POC,10000050,
Non POC,10000051,
Non POC,10000052,
Non POC,10000054,
Non POC,10000055,
Non POC,10000056,
Non POC,10000057,
Non POC,10000058,
Non POC,10000059,
Non POC,10000060,
Non POC,10000061,
Non POC,10000062,
Non POC,10000063,
Non POC,10000064,
Non POC,10000065,
Non POC,10000066,
Non POC,10000067,
Non POC,10000068,
Non POC,10000069,
Non POC,10000070,
Non POC,10000071,
Non POC,10000072,
Non POC,10000073,
Non POC,10000074,
Non POC,10000075,
Non POC,10000076,
Non POC,10000077,
Non POC,10000078,
Non POC,10000079,
Non POC,10000080,
Non POC,10000081,
Non POC,10000082,
Non POC,10000083,
Non POC,10000084,
Non POC,10000085,
Non POC,10000086,
Non POC,10000087,
Non POC,10000088,
Non POC,10000089,
Non POC,10000090,
Non POC,10000091,
Non POC,10000092,
Non POC,10000093,
Non POC,10000094,
Non POC,10000095,
Non POC,10000096,
Non POC,10000097,
Non POC,10000098,
Non POC,10000099,
Non POC,10000101,
Non POC,10000102,
Non POC,10000103,
Non POC,10000104,
Non POC,10000105,
Non POC,10000106,
Non POC,10000107,
Non POC,10000108,
Non POC,10000109,
Non POC,10000110,
Non POC,10000111,
