Sales Domain.[All Sales Domain],Sales Domain.[Division],Sales Domain.[Channel Group],Sales Domain.[Channel],Sales Domain.[Customer Group],Sales Domain.[Sold To]
ALL,ALL,0005641461,0005641461,0005641461,0000193846
ALL,ALL,0005338740,0005338740,0005338740,0000193861
ALL,ALL,0005338740,0005338740,0005338740,0000220178
ALL,ALL,0005641461,0005641461,0005641461,0000243373
ALL,ALL,0004322613,0004322613,0004322613,0000282685
ALL,ALL,0005339180,0005339180,0005339180,0000282821
ALL,ALL,0005339184,0005339184,0005339184,0000311998
ALL,ALL,0005843565,0005843565,0005843565,0000318550
ALL,ALL,0001108309,0001108309,0001108309,0000344961
ALL,ALL,0001108309,0001108309,0001108309,0000344974
ALL,ALL,0001108309,0001108309,0001108309,0000344977
ALL,ALL,0005641461,0005641461,0005641461,0000347407
ALL,ALL,0001108309,0001108309,0001108309,0000348987
ALL,ALL,0005338740,0005338740,0005338740,0000349353
ALL,ALL,0005339185,0005339185,0005339185,0000349395
ALL,ALL,0005843567,0005843567,0005843567,0000349433
ALL,ALL,0005644000,0005644000,0005644000,0000349520
ALL,ALL,0005992595,0005992595,0005992595,0000349530
ALL,ALL,0005641461,0005641461,0005641461,0000349562
ALL,ALL,0002563700,0002563700,0002563700,0000349575
ALL,ALL,0005641461,0005641461,0005641461,0000349593
ALL,ALL,0005641461,0005641461,0005641461,0000349597
ALL,ALL,0005338740,0005338740,0005338740,0000349612
ALL,ALL,0002563700,0002563700,0002563700,0000349613
ALL,ALL,0005339180,0005339180,0005339180,0000349639
ALL,ALL,0005992604,0005992604,0005992604,0000349640
ALL,ALL,0005339185,0005339185,0005339185,0000349657
ALL,ALL,0005339185,0005339185,0005339185,0000349708
ALL,ALL,0005641462,0005641462,0005641462,0000349741
ALL,ALL,0001108306,0001108306,0001108306,0000349745
ALL,ALL,0005338740,0005338740,0005338740,0000349758
ALL,ALL,0005338740,0005338740,0005338740,0000349760
ALL,ALL,0005338740,0005338740,0005338740,0000349761
ALL,ALL,0005338740,0005338740,0005338740,0000349786
ALL,ALL,0005641466,0005641466,0005641466,0000349802
ALL,ALL,0005338740,0005338740,0005338740,0000349830
ALL,ALL,0005992595,0005992595,0005992595,0000349840
ALL,ALL,0005338740,0005338740,0005338740,0000349844
ALL,ALL,0005641461,0005641461,0005641461,0000349863
ALL,ALL,0005641461,0005641461,0005641461,0000349932
ALL,ALL,0005641461,0005641461,0005641461,0000349933
ALL,ALL,0005644000,0005644000,0005644000,0000352610
ALL,ALL,0005338740,0005338740,0005338740,0000358744
ALL,ALL,0005338740,0005338740,0005338740,0000505246
ALL,ALL,0005338740,0005338740,0005338740,0000602491
ALL,ALL,0005338740,0005338740,0005338740,0000715126
ALL,ALL,0005338740,0005338740,0005338740,0000715209
ALL,ALL,0005338740,0005338740,0005338740,0000717055
ALL,ALL,0005338740,0005338740,0005338740,0000717104
ALL,ALL,0001108309,0001108309,0001108309,0000826635
ALL,ALL,0005338740,0005338740,0005338740,0000876612
ALL,ALL,0005338740,0005338740,0005338740,0001079995
ALL,ALL,0005338740,0005338740,0005338740,0001079998
ALL,ALL,0005339178,0005339178,0005339178,0001081965
ALL,ALL,0005339184,0005339184,0005339184,0001081967
ALL,ALL,0005641461,0005641461,0005641461,0001081968
ALL,ALL,0001108412,0001108412,0001108412,0001081979
ALL,ALL,0005992595,0005992595,0005992595,0001081980
ALL,ALL,0005338739,0005338739,0005338739,0001081986
ALL,ALL,0005641461,0005641461,0005641461,0001081990
ALL,ALL,0005643999,0005643999,0005643999,0001082000
ALL,ALL,0005641466,0005641466,0005641466,0001082001
ALL,ALL,0005641466,0005641466,0005641466,0001082002
ALL,ALL,0005641461,0005641461,0005641461,0001082004
ALL,ALL,0005338740,0005338740,0005338740,0001082009
ALL,ALL,0005339184,0005339184,0005339184,0001082017
ALL,ALL,0005643999,0005643999,0005643999,0001082043
ALL,ALL,0005338740,0005338740,0005338740,0001082044
ALL,ALL,0005338740,0005338740,0005338740,0001082064
ALL,ALL,0005641466,0005641466,0005641466,0001082069
ALL,ALL,0005641466,0005641466,0005641466,0001082070
ALL,ALL,0005641466,0005641466,0005641466,0001082071
ALL,ALL,0005641466,0005641466,0005641466,0001082072
ALL,ALL,0005641465,0005641465,0005641465,0001082075
ALL,ALL,0005641465,0005641465,0005641465,0001082076
ALL,ALL,0005992577,0005992577,0005992577,0001082079
ALL,ALL,0005641465,0005641465,0005641465,0001082088
ALL,ALL,0005641465,0005641465,0005641465,0001082090
ALL,ALL,0005641465,0005641465,0005641465,0001082092
ALL,ALL,0005641465,0005641465,0005641465,0001082093
ALL,ALL,0005641465,0005641465,0005641465,0001082094
ALL,ALL,0005641466,0005641466,0005641466,0001082096
ALL,ALL,0005641465,0005641465,0005641465,0001082097
ALL,ALL,0005641466,0005641466,0005641466,0001082098
ALL,ALL,0005641466,0005641466,0005641466,0001082100
ALL,ALL,0005641466,0005641466,0005641466,0001082101
ALL,ALL,0005339178,0005339178,0005339178,0001082102
ALL,ALL,0004322613,0004322613,0004322613,0001082104
ALL,ALL,0004322613,0004322613,0004322613,0001082106
ALL,ALL,0004322613,0004322613,0004322613,0001082107
ALL,ALL,0005641466,0005641466,0005641466,0001082111
ALL,ALL,0005641466,0005641466,0005641466,0001082113
ALL,ALL,0005641466,0005641466,0005641466,0001082114
ALL,ALL,0005641466,0005641466,0005641466,0001082115
ALL,ALL,0005338740,0005338740,0005338740,0001082118
ALL,ALL,0005339185,0005339185,0005339185,0001082120
ALL,ALL,0005339013,0005339013,0005339013,0001082126
ALL,ALL,0005644000,0005644000,0005644000,0001082128
ALL,ALL,0005641466,0005641466,0005641466,0001082131
ALL,ALL,0005641466,0005641466,0005641466,0001082132
ALL,ALL,0005641466,0005641466,0005641466,0001082133
ALL,ALL,0005641466,0005641466,0005641466,0001082134
ALL,ALL,0005641461,0005641461,0005641461,0001082135
ALL,ALL,0005641466,0005641466,0005641466,0001082136
