Time.[AllTimeKey],Time.[All Time],Time.[PlanningYearKey],Time.[Planning Year],Time.[PlanningQuarterKey],Time.[Planning Quarter],Time.[PlanningMonthKey],Time.[Planning Month],Time.[WeekKey],Time.[Week]
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,12/28/2009 12:00:00 AM,Q1-10,12/28/2009 12:00:00 AM,M01-10,12/28/2009 12:00:00 AM,28-Dec-2009
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,12/28/2009 12:00:00 AM,Q1-10,12/28/2009 12:00:00 AM,M01-10,1/4/2010 12:00:00 AM,04-Jan-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,12/28/2009 12:00:00 AM,Q1-10,12/28/2009 12:00:00 AM,M01-10,1/11/2010 12:00:00 AM,11-Jan-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,12/28/2009 12:00:00 AM,Q1-10,12/28/2009 12:00:00 AM,M01-10,1/18/2010 12:00:00 AM,18-Jan-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,12/28/2009 12:00:00 AM,Q1-10,1/25/2010 12:00:00 AM,M02-10,1/25/2010 12:00:00 AM,25-Jan-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,12/28/2009 12:00:00 AM,Q1-10,1/25/2010 12:00:00 AM,M02-10,2/1/2010 12:00:00 AM,01-Feb-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,12/28/2009 12:00:00 AM,Q1-10,1/25/2010 12:00:00 AM,M02-10,2/8/2010 12:00:00 AM,08-Feb-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,12/28/2009 12:00:00 AM,Q1-10,1/25/2010 12:00:00 AM,M02-10,2/15/2010 12:00:00 AM,15-Feb-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,12/28/2009 12:00:00 AM,Q1-10,2/22/2010 12:00:00 AM,M03-10,2/22/2010 12:00:00 AM,22-Feb-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,9/27/2010 12:00:00 AM,Q4-10,9/27/2010 12:00:00 AM,M10-10,10/4/2010 12:00:00 AM,04-Oct-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,9/27/2010 12:00:00 AM,Q4-10,9/27/2010 12:00:00 AM,M10-10,10/11/2010 12:00:00 AM,11-Oct-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,9/27/2010 12:00:00 AM,Q4-10,9/27/2010 12:00:00 AM,M10-10,10/18/2010 12:00:00 AM,18-Oct-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,9/27/2010 12:00:00 AM,Q4-10,10/25/2010 12:00:00 AM,M11-10,10/25/2010 12:00:00 AM,25-Oct-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,9/27/2010 12:00:00 AM,Q4-10,10/25/2010 12:00:00 AM,M11-10,11/1/2010 12:00:00 AM,01-Nov-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,9/27/2010 12:00:00 AM,Q4-10,10/25/2010 12:00:00 AM,M11-10,11/8/2010 12:00:00 AM,08-Nov-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,9/27/2010 12:00:00 AM,Q4-10,10/25/2010 12:00:00 AM,M11-10,11/15/2010 12:00:00 AM,15-Nov-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,9/27/2010 12:00:00 AM,Q4-10,11/22/2010 12:00:00 AM,M12-10,11/22/2010 12:00:00 AM,22-Nov-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,9/27/2010 12:00:00 AM,Q4-10,11/22/2010 12:00:00 AM,M12-10,11/29/2010 12:00:00 AM,29-Nov-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,9/27/2010 12:00:00 AM,Q4-10,11/22/2010 12:00:00 AM,M12-10,12/6/2010 12:00:00 AM,06-Dec-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,9/27/2010 12:00:00 AM,Q4-10,11/22/2010 12:00:00 AM,M12-10,12/13/2010 12:00:00 AM,13-Dec-2010
1/1/2001 12:00:00 AM,AllTime,12/28/2009 12:00:00 AM,2010,9/27/2010 12:00:00 AM,Q4-10,11/22/2010 12:00:00 AM,M12-10,12/20/2010 12:00:00 AM,20-Dec-2010
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,12/27/2010 12:00:00 AM,Q1-11,12/27/2010 12:00:00 AM,M01-11,12/27/2010 12:00:00 AM,27-Dec-2010
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,12/27/2010 12:00:00 AM,Q1-11,12/27/2010 12:00:00 AM,M01-11,1/3/2011 12:00:00 AM,03-Jan-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,12/27/2010 12:00:00 AM,Q1-11,12/27/2010 12:00:00 AM,M01-11,1/10/2011 12:00:00 AM,10-Jan-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,12/27/2010 12:00:00 AM,Q1-11,12/27/2010 12:00:00 AM,M01-11,1/17/2011 12:00:00 AM,17-Jan-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,12/27/2010 12:00:00 AM,Q1-11,1/24/2011 12:00:00 AM,M02-11,1/24/2011 12:00:00 AM,24-Jan-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,12/27/2010 12:00:00 AM,Q1-11,1/24/2011 12:00:00 AM,M02-11,1/31/2011 12:00:00 AM,31-Jan-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,12/27/2010 12:00:00 AM,Q1-11,1/24/2011 12:00:00 AM,M02-11,2/7/2011 12:00:00 AM,07-Feb-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,12/27/2010 12:00:00 AM,Q1-11,1/24/2011 12:00:00 AM,M02-11,2/14/2011 12:00:00 AM,14-Feb-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,12/27/2010 12:00:00 AM,Q1-11,2/21/2011 12:00:00 AM,M03-11,2/21/2011 12:00:00 AM,21-Feb-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,12/27/2010 12:00:00 AM,Q1-11,2/21/2011 12:00:00 AM,M03-11,2/28/2011 12:00:00 AM,28-Feb-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,9/26/2011 12:00:00 AM,Q4-11,9/26/2011 12:00:00 AM,M10-11,10/3/2011 12:00:00 AM,03-Oct-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,9/26/2011 12:00:00 AM,Q4-11,9/26/2011 12:00:00 AM,M10-11,10/10/2011 12:00:00 AM,10-Oct-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,9/26/2011 12:00:00 AM,Q4-11,9/26/2011 12:00:00 AM,M10-11,10/17/2011 12:00:00 AM,17-Oct-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,9/26/2011 12:00:00 AM,Q4-11,10/24/2011 12:00:00 AM,M11-11,10/24/2011 12:00:00 AM,24-Oct-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,9/26/2011 12:00:00 AM,Q4-11,10/24/2011 12:00:00 AM,M11-11,10/31/2011 12:00:00 AM,31-Oct-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,9/26/2011 12:00:00 AM,Q4-11,10/24/2011 12:00:00 AM,M11-11,11/7/2011 12:00:00 AM,07-Nov-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,9/26/2011 12:00:00 AM,Q4-11,10/24/2011 12:00:00 AM,M11-11,11/14/2011 12:00:00 AM,14-Nov-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,9/26/2011 12:00:00 AM,Q4-11,11/21/2011 12:00:00 AM,M12-11,11/21/2011 12:00:00 AM,21-Nov-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,9/26/2011 12:00:00 AM,Q4-11,11/21/2011 12:00:00 AM,M12-11,11/28/2011 12:00:00 AM,28-Nov-2011
1/1/2001 12:00:00 AM,AllTime,12/27/2010 12:00:00 AM,2011,9/26/2011 12:00:00 AM,Q4-11,11/21/2011 12:00:00 AM,M12-11,12/5/2011 12:00:00 AM,05-Dec-2011
